143:2026-07-10 01:24:11.088 Df AttachMobile[9472:25adee] (Foundation) [D/ServerConfigStore] loaded 106 chars
3384:2026-07-10 01:24:27.878 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3385:2026-07-10 01:24:27.887 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3388:2026-07-10 01:24:28.290 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3389:2026-07-10 01:24:28.322 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3392:2026-07-10 01:24:28.725 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3393:2026-07-10 01:24:28.727 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3396:2026-07-10 01:24:29.130 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3397:2026-07-10 01:24:29.160 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3400:2026-07-10 01:24:29.564 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3401:2026-07-10 01:24:29.572 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3404:2026-07-10 01:24:29.973 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3405:2026-07-10 01:24:29.995 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3408:2026-07-10 01:24:30.398 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3409:2026-07-10 01:24:30.417 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3412:2026-07-10 01:24:30.821 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3413:2026-07-10 01:24:30.832 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3416:2026-07-10 01:24:31.235 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3417:2026-07-10 01:24:31.249 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3420:2026-07-10 01:24:31.653 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3421:2026-07-10 01:24:31.683 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3424:2026-07-10 01:24:32.086 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3425:2026-07-10 01:24:32.113 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3428:2026-07-10 01:24:32.515 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3429:2026-07-10 01:24:32.523 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3432:2026-07-10 01:24:32.925 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3433:2026-07-10 01:24:32.926 Df AttachMobile[9472:25ae11] (Foundation) [D/TcpTerminalClient] read 74 chars
3436:2026-07-10 01:24:33.330 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3437:2026-07-10 01:24:33.334 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3440:2026-07-10 01:24:33.738 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3441:2026-07-10 01:24:33.758 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3444:2026-07-10 01:24:34.160 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3445:2026-07-10 01:24:34.177 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3448:2026-07-10 01:24:34.580 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3449:2026-07-10 01:24:34.584 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3452:2026-07-10 01:24:34.987 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3453:2026-07-10 01:24:35.006 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3456:2026-07-10 01:24:35.409 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3457:2026-07-10 01:24:35.424 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3460:2026-07-10 01:24:35.830 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3461:2026-07-10 01:24:35.847 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3464:2026-07-10 01:24:36.251 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3465:2026-07-10 01:24:36.260 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3468:2026-07-10 01:24:36.663 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3469:2026-07-10 01:24:36.690 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3472:2026-07-10 01:24:37.094 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3473:2026-07-10 01:24:37.107 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3476:2026-07-10 01:24:37.511 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3477:2026-07-10 01:24:37.514 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3480:2026-07-10 01:24:37.918 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3481:2026-07-10 01:24:37.932 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3484:2026-07-10 01:24:38.336 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3485:2026-07-10 01:24:38.360 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3488:2026-07-10 01:24:38.764 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3489:2026-07-10 01:24:38.783 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3492:2026-07-10 01:24:39.186 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3493:2026-07-10 01:24:39.188 Df AttachMobile[9472:25ae10] (Foundation) [D/TcpTerminalClient] read 74 chars
3496:2026-07-10 01:24:39.591 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3497:2026-07-10 01:24:39.612 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
3500:2026-07-10 01:24:40.016 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpConnection] connected to 127.0.0.1:48740
3501:2026-07-10 01:24:40.045 Df AttachMobile[9472:25ae05] (Foundation) [D/TcpTerminalClient] read 74 chars
